title_county,county_id_partner,lat,long
Andrijevica,1,42.738881,19.785763
Bar,2,42.091726,19.090263
Žabljak,3,43.154573,19.123157
Šavnik,4,42.957797,19.094365
Berane,5,42.844994,19.874457
Cetinje,6,42.390914,18.913992
Danilovgrad,7,42.583675,19.14056
Herceg Novi,8,42.452959,18.531434
Kolašin,9,42.823641,19.522527
Kotor,10,42.424664,18.77123
Mojkovac,11,42.958668,19.581689
Nikši?,12,42.77329,18.944139
Plav,13,42.59557,19.945012
Pljevlja,14,43.359993,19.359988
Plužine,15,43.154143,18.841037
Podgorica,16,42.442568,19.268656
Rožaje,17,42.839975,20.159995
Tivat,18,42.431914,18.71128
Ulcinj,19,41.929836,19.224222
Bijelo Polje,20,43.037686,19.747964
Budva,21,42.288104,18.842398
